,Title,Link,Snippet
65,A comparison of some soft computing methods for software fault prediction,https://www.sciencedirect.com/science/article/pii/S0957417414006496,"… Data used in this study are collected from the PROMISE Software Engineering Repository, 
and McCabe metrics are selected because they comprehensively address the programming …"
66,High dimensional search-based software engineering: finding tradeoffs among 15 objectives for automating software refactoring using NSGA-III,https://researchrepository.ul.ie/articles/conference_contribution/High_dimensional_search-based_software_engineering_finding_tradeoffs_among_15_objectives_for_automating_software_refactoring_using_NSGA-III/19853602/1/files/35269711.pdf,"… the software design after applying refactoring operations, but current search-based software 
engineering … We propose for the first time a scalable search-based software engineering …"
67,"[BOOK][B] Financial engineering and computation: principles, mathematics, algorithms",https://books.google.com/books?hl=en&lr=&id=iispAwAAQBAJ&oi=fnd&pg=PP1&dq=Software+Engineering+in+computation&ots=dV_fEPmSsG&sig=LVOKec39-vwJO2Nt00CXV_zDsEY,"… It is a remarkable fact that most – if not all – of the programming works could have been 
done with spreadsheet software [221, 708]. Some computing platforms admit the integration of …"
68,Integrating modern research into numerical computation education,https://ieeexplore.ieee.org/abstract/document/4293740/,"… They’re also competing on a particular piece of computational software or a programming 
language for preferential use as a teaching tool, one that instructors might favor over others. …"
69,How do scientists develop and use scientific software?,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=b99f1652926c23ee45fba1ad62d799d04a1740b4,"… to rank standard software engineering concepts higher if they work in large software development 
… between rank of importance of software engineering concepts and project/team size. …"
70,JCLEC: a Java framework for evolutionary computation,https://sci2s.ugr.es/sites/default/files/files/Teaching/OtherPostGraduateCourses/FutureDirectionsinSoftComputing/Bibliografia/JCELC-online-accepted.pdf,"… Abstract In this paper we describe JCLEC, a Java software system for the development of 
evolutionary computation applications. This system has been designed as a framework, …"
71,On contemporary denotational mathematics for computational intelligence,https://www.researchgate.net/profile/Yingxu-Wang-3/publication/220110185_On_Contemporary_Denotational_Mathematics_for_Computational_Intelligence/links/00b4952055ebb153c2000000/On-Contemporary-Denotational-Mathematics-for-Computational-Intelligence.pdf,"… informatics, computational intelligence, software engineering, and knowledge engineering. 
… learning by concept algebra, and the modeling of granular computing by system algebra. …"
72,Verification and validation in computational engineering and science: basic concepts,https://www.sciencedirect.com/science/article/pii/S0045782504001781,"… the software engineering processes of determining if the code faithfully implements the 
computational … with which the mathematical model is approximated by the computational model. …"
73,"Elegant object-oriented software design via interactive, evolutionary computation",https://arxiv.org/pdf/1210.1184,"… It is generally held in software engineering that software designs should strive for high-class 
cohesion and low-design coupling. Evolutionary search is, thus, conducted as a single-…"
74,Computation of dynamic program slices for unstructured programs,https://ieeexplore.ieee.org/abstract/document/581327/,"… as we will show, they may compute incorrect dynamic slices for unstructured programs … 
compute dynamic slices. In this paper we present a novel approach of dynamic slice computation …"
75,Playing planning poker in crowds: human computation of software effort estimates,https://eprints.gla.ac.uk/234713/1/234713.pdf,"… We hypothesize that by designing a process that applies human computation[26] to an … 
human computation, we address the following research question: RQ: Given a software task that …"
76,Raw computation,https://www.jstor.org/stable/26058367,"… scientists, software designers and electrical engineers must re… : by exposing its wiring to the 
software system, the chip itself can … But in 1997 a microprocessor with the same computing …"
77,PROOF: A parallel object-oriented functional computation model,https://www.sciencedirect.com/science/article/pii/074373159190125S,"… , software development techniques and programming paradigms supporting software 
engineering … to facilitate the development of large-scale software systems for parallel computing. …"
78,Measuring empirical computational complexity,http://sfg.users.sonic.net/berkeley/trendprof-fse-2007.pdf,"The standard language for describing the asymptotic behavior of algorithms is theoretical 
computational complexity. We propose a method for describing the asymptotic behavior of …"
79,The current state and future of search based software engineering,https://www.academia.edu/download/51417526/Original_20-_20Harman_20-_20The_20Current_20State_20and_20Future_20of_20Search_20Based_20Software_20Engineering.pdf,"… in software engineering. These optimization techniques come from the operations research 
and metaheuristic computation … successful application to software engineering, providing an …"
80,"Separating computation, coordination and configuration",https://onlinelibrary.wiley.com/doi/abs/10.1002/smr.260,"… Since the earliest of times in software engineering, evolution has been considered mainly in 
… However, as a result of e-economics, the scope of software evolution has been expanded in …"
81,[BOOK][B] Designing and building parallel programs: concepts and tools for parallel software engineering,https://dl.acm.org/doi/abs/10.5555/527029,"… Clusters of shared-memory multiprocessors (SMPs) have become the most promising parallel 
computing platforms for scientific computing. However, SMP clusters significantly increase …"
82,[BOOK][B] Modeling in Event-B: system and software engineering,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=0861902a5167a3f98b4fe2532f3a83d6aa4a43d5,"A practical text suitable for an introductory or advanced course in formal methods, this book 
presents a mathematical approach to modelling and designing systems using an extension …"
83,Software framework for distributed experimental–computational simulation of structural systems,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=24d9f69fcc3f43028b1ba061247850839005438e,"… nication protocols, computational models, solution algorithms, and computing resources that 
… presents a software framework for distributed experimental–computational simulation. The …"
84,Qualitative methods in empirical studies of software engineering,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=9846cb0b10aae4128bc27a82cf87b2a947a7c210,"… software engineering for several decades, but have only relatively recently achieved significant 
recognition in the broader software engineering … mathematics or computational nature of …"
85,Closure and convergence: A foundation of fault-tolerant computing,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=15f18ffeb07dc1d25eaf21abc62bfd87d2b5f88c,"The authors formally define what it means for a system to tolerate a class of faults. The definition 
consists of two conditions. The first is that if a fault occurs when the system state is within …"
86,[BOOK][B] Software engineering with reusable components,https://www.academia.edu/download/7109703/10.1.1.94.1888.pdf,"… For example, we can take a procedure and use it for some computations. We can also 
reuse an algorithm that is described in a book on algorithms, like in the book on fundamental …"
87,DESMET: a methodology for evaluating software engineering methods and tools,https://digital-library.theiet.org/content/journals/10.1049/cce_19970304,"… be forgiven for believing that software engineering is only … on the issue of evaluating software 
engineering standards1 I the … approach to evaluation in the field of software engineering. …"
88,A practical guide for using statistical tests to assess randomized algorithms in software engineering,https://homes.cs.washington.edu/~rjust/courses/CSE503/2021_02_26-reading.pdf,"… software engineering … software engineering venues in 2009. Its goal is not to perform a 
complete survey but to get a representative snapshot of current practice in software engineering …"
89,Agent-oriented software engineering: The state of the art,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=d392ac45c071a9f115240c88db73e68a2c553dd9,"… and efficiently engineer than those that simply compute a function … Many researchers now 
believe that in future, computation … Since the 1980s, software agents and multi-agent systems …"
90,Autonomic computing: emerging trends and open problems,https://www.netlab.tkk.fi/opetus/s384030/k06/papers/AutonomicComputingTrendsAndProblems.pdf,"… We believe that from software engineering point of view, autonomic characteristics are highly 
related to quality and non-functional requirements (NFR) [32]. To achieve this, we have to …"
91,Developments in computing work: control and contradiction in the software labour process,https://link.springer.com/chapter/10.1007/978-1-349-26346-2_8,"… , is a picture of the sequence of the software engineering process, predominantly in a 'waterfall' … 
design in the prevailing software engineering ideology (A vergou and Cornford, 1993b). …"
92,[PDF][PDF] User interfaces for symbolic computation: a case study,https://dl.acm.org/doi/pdf/10.1145/168642.168643,"… tools are part of the CAS/PI system, whereas ert emu] tools are software from different origins 
which may … and external software from different origins, we needed an architecture allowing …"
93,[PDF][PDF] N-version programming: A fault-tolerance approach to reliability of software operation,https://www.inf.pucrs.br/zorzo/cs/n-versionprogramming.pdf,"… Berry and the proaramscontributed by the students of his Software Engineering classes in 
1976 and in 1977. Valuable advice and criticism was received fran Professors JA Goguen, Jr. …"
94,Constructing programs from example computations,https://files.eric.ed.gov/fulltext/ED152327.pdf,"An autoprogrammer is an interactive computer programming system which automatically 
constructs computer programs from example computations executed by the user. The example …"
